artist_id  artist_name        genre_name  participated
---------  -----------------  ----------  ------------
19         Artist18 Lastname  Jazz        Yes         
3          Artist2 Lastname   Jazz        Yes         
22         Artist21 Lastname  Jazz        Yes         
33         Artist32 Lastname  Jazz        Yes         
37         Artist36 Lastname  Jazz        No          
43         Artist42 Lastname  Jazz        No          
46         Jazzman0 Solo      Jazz        No          
47         Jazzman1 Solo      Jazz        No          
48         Jazzman2 Solo      Jazz        No          
49         Jazzman3 Solo      Jazz        No          
50         Jazzman4 Solo      Jazz        No          
51         Jazzman5 Solo      Jazz        No          
52         Jazzman6 Solo      Jazz        No          
53         Jazzman7 Solo      Jazz        No          
54         Jazzman8 Solo      Jazz        No          
55         Jazzman9 Solo      Jazz        No          
